"ID","klimatischer Stressor","Impact","Branche(n)","Unternehmensbereich","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte1","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Dürre ","Abnahme und Versiegen von Quellschüttungen","Getränkeindustrie; Wasserversorgung","Rohstoffe","Brauerei Kleines Bierhaus; badenova","Deutschland","Tieflagen; mittlere Lagen; Hochlagen",,"Wasser ist doch das Wichtigste in der ganzen Brauerei –muss man klipp und klar so sagen. Ohne Wasser geht gar nichts. Alles andere kann man irgendwie versuchen, was zu machen. Aber ohne Wasser, ja, dann steht der Betrieb. […] Die  Frage  wäre  halt  wirklich:  Wenn  ich  kein Grundwasser mehr bekommen würde, was könnte ich dann tun? [...] Wenn wirklich jetzt die Quellen –mein eigener Brunnen –versiegen, müssen wir tiefer bohren, um an Wasser zu kommen oder halt versuchen ans öffentliche Netz zu kommen, dass die dafür sorgen, dass ich mein Wasser kriege.","badenova: Es zeichnet sich im Moment ab, dass wir durchaus 10% weniger Niederschlag wahrnehmen. Das kann sich natürlich klimatisch alles wieder ändern, aber im Moment sehen wir den Trend deutlich, dass es weniger wird. Und das natürlich auch entsprechend   schlechter   verteilt   ist,   also   wir   in   den   Sommermonaten   einfach   lange Dürrephasen  haben.  Und  gerade  bei  Grundwasserleitern,  wie  wir  sie  aus  dem  Dreisamtal kennen,   die   leben   davon,   dass   sie   permanent   nachgespeist   werden.   Wenn   da   der Niederschlag  fehlt  in  dem  Sinne  geht  der  Grundwasserleiter  natürlich  auch  in  die  Knie –deutlich  in  die  Knie.  Und  wir  sehen  auch,  dass  die  Wintermonate  nicht  ausreichen  von  den Niederschlagsmengen  her-teilweise  haben  wir in  den  Bergen  auch  Frost –um  genug Grundwasser  wieder  in  die  Quellen  zu  kriegen,  also  genug Einsickerung  zu  erzeugen.  So hören  die  Quellen  jetzt  früher  auf  als  sie  das  in  der  Vergangenheit  getan  haben.  Also  der Schwerpunkt geht schon in die Sommermonate hinein [...] Und die Quellen hören sowieso auf. Ich werde schon immer ganz entsetzt vom Bürgermeister angeguckt, wenn ich sage „Geht mal von Null aus bei Quellen“. Aber so langsam setzt sich auch da die Erfahrung durch, dass sie sagen, wir müssen für die Zukunftsmodelle wirklich mit Null rechnen.","SWMS: Aber jetzt fällt mir doch noch was ein und das betrifft nämlich die Quellen und das betrifft wieder den Wald. Es wird schon ein Problem sein, wenn der Wald weiter so leidet, dass die Quellen weiterhin schütten und ihren Dienst tun. […] Man merkt schon, dass wenn der Wald leidet, und der Walt hält das Wasser ja zurück, und das ist ja ein Riesen Dienst was der Wald uns da erbringt, wenn der leidet und abstirbt werden wir vom Quellwasser relativ schnell denk ich Probleme kriegen",,,,,,,,
,"Dürre","schlechtere Wasserqualität in Dürreperioden","Wasserversorgung","Rohstoffe","IWB; SWMS","Schweiz; Deutschland","Tieflagen; mittlere Lagen; Hochlagen","wg. Schlechterem Mischverhältnis bei Schadstoffeintrag, aber auch höherer Kalkgehalt bei höherem Anteil an Rheinwasser im ""Mischsystem""","IWB: Aber was man schon gesehen hat, nicht in Basel, aber in einzelnen Gemeinden der Schweiz, dass dort im letzten Sommer schon Wasserknappheit herrschte. Es wird sicherlich Gemeinden oder Regionen geben, die nicht das ganze Jahr durchgehend die Trinkwasserversorgung in gleicher  Qualität  und  Länge  aufrechterhalten  können  und  das  wird  sich  sicherlich  steigern.","SWMS: Und  je trockener  es  ist,  desto  mehr  mischen  wir  natürlich  das  Rheinwasser  zu  und  desto  mehr verändert sich dann auch die Wasserhärte, was der Endverbraucher dann auch wieder merkt, wenn mehr Kalkablagerungen da sind und manche sagen sie schmecken es auch.",,,,,,,,,
,"Dürre","Restriktionen bei der Erschließung neuer Quellen --> Behinderung des Firmenwachstums","Getränkeindustrie","Rohstoffe","Lieler","Deutschland","Tieflagen",,"Lieler: Aber wenn da weniger Wasser vorhanden ist, dann kommt es auch tlw., da ist auf EU-Ebene so ein bisschen Restriktionen geplant. Oder beim Thema Wasseranerkennung, Wasserrecht wird es dann schwieriger neue Quellen zu erschließen, weil die dafür sorgen müssen, dass das Trinkwasser, das Leitungswasser für die Verbraucher nicht knapp wird. Und dadurch gibt es vielleicht tlw. Restriktionen, ",,,,,,,,,,
,"Dürre","Engpässe bei der Wasserversorgung --> Einschränkung  von wasserintensiven Prozessen --> Reduzierung der Wasserentnahme aus  als Gegenmaßnahme","Getränkeindustrie; Logistik; Landwirtschaft","Kritische Infrastrukturen; Rohstoffe; Produktion / Betrieb","Decker Bier; SWMS; Spedition Kleyling; Ringlihof","Deutschland","Tieflagen, Hochlagen","Probleme bei hohem Brauch- und Kühlwasserbedarf, z. B. Nasskehrmaschine, wasserbasierte Klimaanlage, Trinkwasser für Vieh, etc.","Allerdings ist der Wasserspiegel schon immer ein Thema. Teilweise auch das Abwasser, denn du brauchst nichtfürs Bier Wasser, sondern auch zum Reinigen. Die Tanks, in denen gebraut wird, werden mit viel Lauge und Chemie gereinigt, richtig ätzendes Zeug. [...]  Du  benutzt  auch Wasser  zum  Kühlen,  da  werden  Kreisläufe aufgebaut. Im Brauprozess musst du ja auch aufheizen, dann hast du Rastzeiten. Da gibt es Energierückgewinnungsanlagen. Wenn das Wasser einmal aufgeheizt wird, wird es in Tanks gespeichert, um es dann nochmal zu verwenden. Das sind wichtige Themen. Da müsst ihr von 100.000enden von Hektolitern ausgehen, das ist immens. ","SWMS: Man denkt man hat noch Unmengen an  Wasser,  das  stimmt  zum  Teil  auch,  weil  das  Aquifer  vom  Rhein  ist  einfach  sehr  sehr mächtig.  Aber  man  merkt schon,wie  sich  das  so  nach  und  nach  absenkt  und  man  sollte einfach in so einer Zeit wie heute nicht mehr so verschwenderisch mit der Wasserressource umgehen","Bei Hitze kommt noch die Wasserknappheit dazu, wie sich die auswirken wird, das ist jetzt schwierig zu beurteilen, aber wir sind jetzt kein Wasserbetrieb, der für die Produktion Wasser benötigt. Aber die Hygienemaßnahmen, die man in der Halle hat, die würden sicher darunter leiden, da wir jeden Tag oder mindestens einmal in der Woche die Hallen mit Nasskehrmaschinen sauber machen oder die Staubunterbindung durch Feuchtigkeit oder auch Klimaanlagen, die mit Wasser funktionieren zum Kühlen","Stech 2021",,,,,,,
,"Dürre","Niedrigwasser am Rhein --> reduzierte Transportkapazität von Schiffen (auch längere Zeiträume) --> Verzögerungen in der Lieferkette, Erhöhung der Transportkosten, sinkende Rentabilität","Logistik","Produktion / Betrieb; Lieferkette","Hafen Karlsruhe; Hafen Kehl; Contargo; Danser","Deutschland; Frankreich","Tieflagen",,"HKA: Wir haben eher ein anderes Phänomen, nämlich das des Niedrigwassers. Und wie sie sich erinnern, im August 2017, wo in Rastatt dieser Tunnel der Deutschen Bahn eingestürzt ist, hat man ja justament das Thema mit Niedrigwasser, das heißt, die Binnenschifffahrt konnte Mengen, die mit der Bahn unterwegs war, insbesondere im kombinierten Güterverkehr, das heißt Wechselbrückencontainer und dergleichen, überhaupt nicht befördern, weil zu wenig Wasser, überspitzt ausgedrückt, zu wenig Wasser im Rhein war. Das heißt die Schiffe konnten nicht mehr vollgeladen werden, sondern nur noch teilweise beladen werden und dadurch wird die Fracht teurer, das heißt das ist ein Problem","HKE: es macht vielmehr aus der Klimawandel in Folge der Niedrigwasserphasen, die wir immer wieder bekommen und zwar extreme Niedrigwasserphasen.
[…] Das beschäftigt uns, das beschäftigt die gesamte Logistik. Wenn sie sich das Jahr 2018 einmal rausnehmen mit dieser extremen Trockenheit, wo wir extreme Probleme bekamen mit der Schiffbarkeit des Rheines, das wird uns in Zukunft deutlich mehr beschäftigen.[...] Beispielsweise war bei uns in Kehl das Tanklager mehrfach leergefahren, das Tanklager wird über Schiffe bedient, das war teilweise nicht mehr möglich. Die sind gekommen mit 300 Tonnen Mineralöl im Schiff und Transportkosten von 70.000 Euro das ist nicht mehr tragbar und die Schiffsführer haben teilweise die Fahrten eingestellt, weil sie sich die Schiffe beschädigt haben, um hier hoch zu kommen. ","Danser: 1 cm d’eau en plus ou en mois dans le Rhin c’est 10 à 15 tonnes de marchandises en plus ou en moins dans un bateau » = la rentabilité des bateaux est fortement dépendante du niveau d’eau ",,,,,,,,
,"Dürre","Niedrigwasser am Rhein --> reduzierte Transportkapazität von Schiffen --> Umplanungen, Ausweichen auf Straße und Schiene, Mehraufwand","Logistik","Management; Personal","Hafen Karlsruhe; Hafen Kehl; Contargo; Dischinger","Deutschland; Frankreich","Tieflagen",,"HKA: Wir haben eher ein anderes Phänomen, nämlich das des Niedrigwassers. Und wie sie sich erinnern, im August 2017, wo in Rastatt dieser Tunnel der Deutschen Bahn eingestürzt ist, hat man ja justament das Thema mit Niedrigwasser, das heißt, die Binnenschifffahrt konnte Mengen, die mit der Bahn unterwegs war, insbesondere im kombinierten Güterverkehr, das heißt Wechselbrückencontainer und dergleichen, überhaupt nicht befördern, weil zu wenig Wasser, überspitzt ausgedrückt, zu wenig Wasser im Rhein war. Das heißt die Schiffe konnten nicht mehr vollgeladen werden, sondern nur noch teilweise beladen werden und dadurch wird die Fracht teurer, das heißt das ist ein Problem","HKE: es macht vielmehr aus der Klimawandel in Folge der Niedrigwasserphasen, die wir immer wieder bekommen und zwar extreme Niedrigwasserphasen.
[…] Das beschäftigt uns, das beschäftigt die gesamte Logistik. Wenn sie sich das Jahr 2018 einmal rausnehmen mit dieser extremen Trockenheit, wo wir extreme Probleme bekamen mit der Schiffbarkeit des Rheines, das wird uns in Zukunft deutlich mehr beschäftigen.[...] Beispielsweise war bei uns in Kehl das Tanklager mehrfach leergefahren, das Tanklager wird über Schiffe bedient, das war teilweise nicht mehr möglich. Die sind gekommen mit 300 Tonnen Mineralöl im Schiff und Transportkosten von 70.000 Euro das ist nicht mehr tragbar und die Schiffsführer haben teilweise die Fahrten eingestellt, weil sie sich die Schiffe beschädigt haben, um hier hoch zu kommen. ","Disch2: Wo in der Logistik große Herausforderungen kommen und auch sind, dass ist in der Binnenschifffahrt. Ich bin im Verwaltungsrat des Rheinhafens in Kehl, vielleicht können Sie dort mal nachfragen. Da gibt es zwei Extreme, einmal Hochwasser und einmal Niedrigwasser. Und natürlich je mehr Hochwasser da ist, desto schlechter ist es für die Schifffahrt. Das heißt von halber Ladung bis hin zu kompletten Stopp. Da ist es mit Sicherheit ein richtig großes Problem. Das heißt aber dann, dass es rum auf die Bahn geht. Die ist nicht leistungsfähig in der Form, leider, muss ich auch sagen, leider. Und dann geht es auf den LKW.",,,,,,,,
,"Dürre","Niedrigwasser --> reduzierte Transportkapazität, Überlastung --> Nicht-Erfüllung von Aufträgen, Kundenunzufriedenheit, Auftragsverlust","Logistik","Absatz","Contargo; Danser","Deutschland; Frankreich","Tieflagen",,"Kolhof et al. 2018","Danser: o Service dégradé : refus de commande ou allongement traitement des commandes (chargement réduit sur plusieurs bateaux) --) report modal et risque que formule alternative remporte l’adhésion du client à long terme
",,,,,,,,,
,"Dürre","Niedrigwasser --> Einnahmeverluste --> Teilzeit-Anstellungen als Verlustausgleich","Logistik","Personal","Danser","Frankreich","Tieflagen",,"Danser: Chômage partiel en 2015, 2016 et 2018",,,,,,,,,,
,"Dürre","Niedrigwasser --> reduzierte Transportkapazität des Rheins --> verstärkte Nachfrage nach LKW-Transport --> Mangel an LKWs und Fahrern --> Verzögerungen, höhere Transportkosten","Getränkeindustrie","Produktion / Betrieb; Lieferkette","Kronenbourg","Frankreich","Tieflagen",,"Kron: La solution du report sur la route très majoritairement adoptée en période d’étiage entraîne d’autres difficultés (= Menaces) : l’insuffisance du nombre de camions et de chauffeurs routiers pour faire face à la forte demande des chargeurs permet à certains transporteurs d’augmenter le coût du transport. ",,,,,,,,,,
,"Dürre","reduzierte Transportkapazität wg. Niedrigwasser des Rheins --> steigende Preise von Massengütern wie Heizöl, Diesel, Kohle","Verarbeitendes Gewerbe","Kritische Infrastrukturen; Finanzen","Hévron","Schweiz","mittlere Lagen","betrifft v.a. Unternehmen mit hohem Bedarf an Öl, Diesel, Kohle, etc.","Je crois que c'était pour le diesel. Suite à nos analyses 1401, on a vu qu'on brûlait beaucoup de diesel pour les camions : 120'000L par années, c'est quand même beaucoup. Nous avons donc décidé d'installer une citerne ici, que l'on remplit de diesel. Comme ça on peut faire le plein de nos véhicules nous-même, avec notre propre pompe. On gagne dix centimes au litre, donc en 12 mois, c'est amorti. C'est moi qui négociait les prix du diesel, on en achète pas mal - à coup de 30'000, nos réservoirs coutent 30'000. Ils sont en fonction de la météo, ces prix. Car ils arrivent par le Rhin [le diesel]. Et quand il n'y a pas assez d'eau dans le Rhin, le trafic est interrompu. Je trouvais dingue, c'est arrivé il y a une année : le négociant a voulu augmenter les prix et m'a expliqué : c'est l'été, il a pas plu depuis longtemps, les péniches (Lastkahn) pour le diesel arrivent à Bâle mais sont coincées, on peut apparemment en mettre moins - je ne sais plus exactement comment le problème se posait, mais je me suis dit ""wow, c'est dingue !"" En fonction de la pluie, cela nous change la facture. Bon, pour Hevron, cela représente un tout petit poste, parce que nous ne sommes pas de grands consommateurs. ",,,,,,,,,,
,"Dürre; Hitze ","aufwändigere Förderung und Aufbereitung von Quellwasser ","Getränkeindustrie ","Rohstoffe","Mineralquelle Eptingen AG; Decker Bier","Schweiz; Deutschland","Tieflagen; mittlere Lagen; Hochlagen","Grund: --> tieferes Wasser hat ggfs. anderen Salzgehalt und Härtegrad","Ok man muss tiefer in die Erdschichten gehen, und fürdie Grundwasserversorgung z.B. hat das einfach mit den hohen Kosten zu tun. Ich gehe davon aus, dass das Trinkwasser für die Haushalte –also Hahnenwasser, Leitungswasser –in Zukunft teurer wird, weil es aufwendiger sein wird das Wasser zu fördern entweder, oder weil es aufwendiger wird das Wasser zu reinigen, also aufzubereiten. [...] weil es  weniger Wasser hat  und  wenn es  weniger  Wasser hat  wird die Qualität  schlechter,  weil  die  äußeren  Umweltfaktoren  einen  größeren  Einfluss  haben,  also einen schlechteren Einfluss haben auf das Wasser. Und der Mensch da seine Sachen auch dazu tut, mit Verschmutzung von Wasser.","Decker: gerade so die Brunnentiefe. Das war auch einmal Thema –ist schon ein bisschen länger her –dass der Grundwasserspiegel absackt. Das merken die Brauereien dann schon, ja. Und das ist dann auch problematisch, weil Wasser hat verschiedene Salze-und Härtegrade und dann kannst du nicht einfach so ein anderes Wasser verwenden. Das funktioniert nicht.",,,,,,,,,
,"Dürre; Hitze ","erhöhte Belastung für Wasserinfrastruktur (Förderanlagen, Leitungen) wg. Abgabespitzen in Dürresituation","Wasserversorgung","Betriebsmittel","badenova","Deutschland","Tieflagen",,"badenova: Unsere  Anlagen  geraten  unter  Stress,  mehr und mehr. Wir haben Abgabehöhen, die wir noch nie hatten. Wir haben uns die letzten 15, 20 Jahre, bis vor fünf Jahren, damit beschäftigt, alles kleiner zu bauen, abzubauen. Demographie, weniger Leute, Wassersparen usw. [...] Wir haben alles doppelt ausgelegt –wenn ich aber zur normalen Versorgung schon die zweite Anlage einschalten muss, damit ich genug Wasser zur Verfügung habe, dann darf da nichts drin passieren. Den Stress müssen wir zurzeit aushalten  können,  müssen  die  Anlagen  aushalten  können.  Das  bedeutet  für  uns  eine  hohe Anspannung versorgungstechnisch, um immer richtig da zu sein. Und natürlich für die Zukunft entsprechend die Anlagen so auszulegen, dass wir diese Spitzenlasten auch fahren können",,,,,,,,,,
,"Dürre; Hitze ","steigende Trinkwasserpreise für Haushalte (Leitungswasser)","Getränkeindustrie","Absatz; Kritische Infrastrukturen","Mineralquelle Eptingen AG","Schweiz","mittlere Lagen",,"Ok man muss tiefer in die Erdschichten gehen, und fürdie Grundwasserversorgung z.B. hat das einfach mit den hohen Kosten zu tun. Ich gehe davon aus, dass das Trinkwasser für die Haushalte –also Hahnenwasser, Leitungswasser –in Zukunft teurer wird, weil es aufwendiger sein wird das Wasser zu fördern entweder, oder weil es aufwendiger wird das Wasser zu reinigen, also aufzubereiten. [...] weil es  weniger Wasser hat  und  wenn es  weniger  Wasser hat  wird die Qualität  schlechter,  weil  die  äußeren  Umweltfaktoren  einen  größeren  Einfluss  haben,  also einen schlechteren Einfluss haben auf das Wasser. Und der Mensch da seine Sachen auch dazu tut, mit Verschmutzung von Wasser.",,,,,,,,,,
,"Dürre; Hitze","erhöhter Wasserverbrauch und Bewässerungsbedarf in Hitzewellen und Dürreperioden ","Wasserversorgung; Forst- und Holzwirtschaft; Landwirtschaft; Tourismus","Rohstoffe; Absatz; Kritische Infrastrukturen","SWMS","Deutschland","Tieflagen","wg. Bewässerung von Gärten, in der Landwirtschaft, Schwimmbäder + Pools, Hygiene, Trinkwasser, Nasslagerung von Holz, etc.","SWMS: in diesen Trockenperioden, so wie wir es jetzt haben, da nimmt der Wasserverbrauch schon nochmal stark zu. Weil die Leute haben ihre Gärten, jeder hat jetzt seine kleinen Tomaten auf dem Balkon, die er gießen muss. Und da merkt man schon, dass in diesen Spitzenzeiten ganz klar die Wasserabnahme steigt, und  da  muss  man  entsprechend  gegensteuern.  In  Staufen  mussten  wir  da  einmal  im Schwimmbad anrufen und sagen „Hört mal ganz kurz auf das Wasser zu ziehen, sonst bricht das System zusammen“ [...] Die Auftragslage, klar, die verbessert  sich,  weil  mehr  Wasser  bezogen  wird.[...] Ja  für  uns  ist  das  ja  schon  positiv,  also  wir  haben  zwar  eine  Herausforderung,  das juristisch zu meistern, aber letztendlich verdienen wir Geld damit. Wir verdienen Geld damit, Wasser zu verkaufen, und das ist schon positiver mit jedem Liter Wasser,der abgenommen wird,  gewinnen  wir  Geld.","Nagy 2017","Kolb & Konrad 2021",,,,,,,,
,"Dürre; Hitze","erhöhter Bedarf für betriebliches Wassermanagement und Wassersparmaßnahmen","Tourismus","Kritische Infrastrukturen; Management",,,,,"Konrad & Kolb 2021",,,,,,,,,,
,"Dürre; Hitze","Waldbrandrisiko steigt, v.a. bei Nadelholzbeständen","Forst- und Holzwirtschaft","Rohstoffe",,,,,"Graphic Novel",,,,,,,,,,
,"Dürre; Hitze","Ernteeinbußen wg. Hitze- und Trockenschäden an Anbaupflanzen","Landwirtschaft","Rohstoffe; Absatz",,,,,"Nagy 2017","Stech 2021",,,,,,,,,
,"Dürre; Hitze","erhöhter Investitionsbedarf in Bewässerungsanlagen","Landwirtschaft","Rohstoffe; Betriebsmittel; Finanzen",,,,,"Nagy 2017",,,,,,,,,,
,"Dürre; Hitze","geringere Heuerträge --> Zukauf von Tierfutter (Heu) --> zusätzliche Ausgaben","Landwirtschaft","Rohstoffe; Finanzen","Ringlihof, u.a.","Deutschland",,"Hitze und Dürre vermindern / stoppen Graswachstum, weniger Schnitte, weniger Erträge","Nagy 2017","Stech 2021","Raab 2020",,,,,,,,
,"Dürre; Hitze","erhöhter relativer Arbeitsaufwand zur Heuernte --> sinkende Arbeitsproduktivität","Landwirtschaft","Personal; Finanzen","Ringlihof",,,"weniger Heuernte pro Arbeitsgang","Stech 2021",,,,,,,,,,
,"Dürre; Hitze","Preisverfall von Fleisch wg. Überangebot","Landwirtschaft","Rohstoffe; Absatz",,,,,"Raab 2020, S. 49",,,,,,,,,,
,"Dürre; Starkregen; Hitzewellen; Sturm; Gewitter & Hagel; Kälte & Frost; allg. Temperaturanstieg","steigende Preise für land- und forstwirtschaftliche Rohstoffe","Getränkeindustrie; Nahrungsmittelindustrie","Rohstoffe","Brauerei Kleines Bierhaus; Decker Bier; Sägewerk 1; u.a.","Deutschland","Tieflagen"," wegen Ernteeinbußen, reduziertem Wachstum, geringerer Milchleistung, weiterer Transportwege, etc. z. B. Gerste, Hopfen, Malz, auch Obst nach Spätfrost","Ich merke, dass alles teurer wird. Ich merke die Gerste wird teurer […] Und  das  Malz  an sich  wird  teurer.","Und das Malz an sich wird teurer; beim Hopfen das gleiche. Ich merke wirklich, wie die letzten Jahre die Rohstoffe für mich teurer geworden sind. ",,"Dörr 2021, S. 27",,,,,,,
,"Dürre; Starkregen; Hitzewellen; Sturm; Gewitter & Hagel; Kälte & Frost; allg. Temperaturanstieg","Nicht-Verfügbarkeit natürlicher Rohstoffe wg. Ernteeinbußen, Unwetterschäden, etc. --> Lieferschwierigkeiten, Unterbrechungen der Produktion, Verzögerung von Aufträgen","Bauwirtschaft; Getränkeindustrie; Nahrungsmittelindustrie","Rohstoffe; Produktion / Betrieb; Lieferkette","Z1; BFW Bundesverband Freier Immobilien- und Wohnungsunternehmen; Kronenbourg","Deutschland; Frankreich","Tieflagen; mittlere Lagen; Hochlagen","bei Bierherstellung Knappheit von Wasser, Malz oder Hopfen, in Bauwirtschaft Mangel an Bauholz","Hars et al. S. 28f: ""Aber Holz ist natürlich ein Baustoff, wenn da das Klima nicht mitspielt oder wenns zu heiß ist, die Bäume zu wenig Wasser abbekommen, dann hat das natürlich auch Auswirkungen auf uns."" ","Die Nachfrage ist groß, doch die vergangenen Dürresommer und der Boom in Asien bremsen den Nachschub. Materialen für Deutschlands Baustellen werden knapp. Vor allem Holz ist nur schwer zu bekommen. Dem dringend benötigten Wohnungsbau drohe ein Stillstand,","Kron: Risque d’indisponibilité des matières premières (eau, houblon, malt…) 
","Dörr 2021, S. 27",,,,,,,
,"Dürre; Hitze; allg. Temperaturanstieg; Starkregen","schlechtere Qualität der natürlichen Rohstoffe (z. B. Gerste, Malz, Fichtenholz) ","Getränkeindustrie; Forst- und Holzwirtschaft; Nahrungsmittelindustrie ","Rohstoffe","Brauerei Kleines Bierhaus; Decker Bier; Sägewerk 1","Deutschland","Tieflagen","Gerste: Eiweißanteil steigt, Stärkeanteil sinkt ","Bierhaus: die Qualität von der Braugerste wird schlechter; der Eiweißanteil steigt, der Stärkeanteil sinkt. ","Decker: Beim Malz aus Lahr merkt man dann eher mal Schwankungen in der Qualitätsind. Das hat mit dem Klima zu tun, wie beim Wein auch. […] Kann aber auch dazu führen, dass das Bier übermäßig schäumt, wenn man die Flasche öffnet(sog. Gärsching).Der Effekt tritt manchmal auf, chargenweise, dass das Bier aus der Flasche treibt und einfach nicht aufhört zu schäumen. Das kann daran liegen, dass es im Malz einen Pilzbefall gab, kann an falscher Lagerung liegen. Kann aber auch daran liegen, dass es nochmal geregnet hat vor der Ernte. Da gibt es viele Möglichkeiten. [...] Bei  Malz  ist  es zumindest so, dass zu viel Feuchtigkeit [...] Also die Malze werden ja gemälzt –manlässt die ankeimen und dann wird diese Keimung unterbrochen durch Hitze. Wenn aber vorher zu viel Wasser drin ist, dann hast du halt ein unheimliches Problem mit Mikrobenbefall.",,"Dörr 2021, S. 27",,,,,,,
,"Dürre; Starkregen; Hitzewellen; Sturm; Gewitter & Hagel; Kälte & Frost; allg. Temperaturanstieg","organisatorischer Mehraufwand bei Lieferengpässen","Nahrungsmittelindustrie","Management","Dörr 2021","Deutschland",,,"Dörr 2021, S. 27",,,,,,,,,,
,"Dürre; Starkregen; Hitzewellen; Sturm; Gewitter & Hagel; Kälte & Frost; allg. Temperaturanstieg","Kundenunzufriedenheit wg. Nicht-Verfügbarkeit von Produkten oder Qualitätsschwankungen bei Naturprodukten","Nahrungsmittelindustrie","Absatz","Dörr 2021","Deutschland",,,"Dörr 2021, S. 27",,,,,,,,,,
,"Dürre; Starkregen; Hitzewellen; Sturm; Gewitter & Hagel; Kälte & Frost; allg. Temperaturanstieg","zunehmende Planungsunsicherheit wg. Häufung von Lieferengpässen, geänderten Erntezeiten, etc.","Nahrungsmittelindustrie","Management ","Dörr 2021","Deutschland",,,"Dörr 2021, S. 27",,,,,,,,,,
,"Dürre; allgemeiner Temperaturanstieg","Geschmacksveränderungen bei Naturprodukten auf Grund von klimabedingten Qualitätsschwankungen der natürlichen Rohstoffe","Getränkeindustrie","Rohstoffe","Decker Bier","Deutschland","Tieflagen","geringere Hopfenernte bzw. mindere Hopfenqualität --> Biergeschmack verändert sich","Das ist so eine Sache, wo der Klimawandel das erste Mal auf den Tisch kam. Welche Malz-und vor allem welche Hopfensorten gibt es denn in Zukunft noch? Wird es vielleicht neue Sorten, Ersatzsorten geben für Hopfen, der jetzt nicht mehr so gedeiht oder dessen Qualität nicht mehr so gut ist? [...] Die Hopfenzüchtungen werden von Instituten gemacht, die uns auch schon kontaktiert haben.Die investieren jetzt  verstärkt  in  die  Erforschung  neuer  Sorten  und  rufen  auch  die  Industrie  auf, unterstützend tätig zu werden. Das war das erste Mal, dass ich gemerkt hab: oha, das könnte unser Produkt und unser Business verändern. [...] Ich weiß auch, dass vor zwei Jahren [2018] eine ganz schlechte Ernte war, wo wir dann eben auch ein bisschen von der Vorjahresernte dazugeben mussten, weil nicht genug da war und das, was da war, war einfach nicht lecker –also nicht intensiv genug von den Inhaltsstoffen her",,,,,,,,,,
,"Dürre; Hitze ","klimabedingte Veränderung von Kundenwünschen","Bauwirtschaft","Absatz","Garten- und Landschaftsbau","Deutschland","Tieflagen","z. B.  im Gartenbau mehr trockenresistente Pflanzen gewünscht","Hars et al. S. 20",,,,,,,,,,
,"Dürre; Hitze","Verschärfung der Wasserknappheit zu Spitzenverbrauchszeiten wg. unterdimensionierter Infrastruktur","Wasserversorgung","Rohstoffe; Betriebsmittel","SWMS","Deutschland","Tieflagen","z. B. weil Pumpen in Spitzenzeiten die Hochbehälter nicht mehr schnell genug befüllen können","SWMS: Also  wir  hatten  letztes  Jahr  in  Staufen  den  Fall,  dass  die Wasserversorgung  an  ihre  Grenzen  gekommen  ist,  nicht  von  der  Menge  des  Wassers, sondern weil dann wirklich die Pumpen nicht mehr leistungsfähig genug waren. Und auch das 
3war jetzt vor kurzem in der Presse, dass eben oft die Infrastruktur an sich unterdimensioniert ist, oft in diesen Spitzenzeiten. Wenn dann das Schwimmbad Wasser zieht, was wahnsinnig viel  Wasser  zieht,  dann  noch eben  der  Sportverein,  der  seinen  Fußballplatz  bewässert und dann die Haushalte alle noch den Garten gießen, dann kann einfach der Hochbehälter nicht mehr   schnell   genug   befüllt   werden,   weil   die   Pumpen   nicht   mehr   dementsprechend dimensioniert sind. Die sind auch schon entsprechend alt und auch da müssen wir aufpassen, dass wir diese Pumpen regelmäßig kontrollieren und ggf. erneuern und dann leistungsfähigere Pumpen einsetzen",,,,,,,,,,
,"Dürre; Starkregen","Zunahme der Bodenerosion ","Landwirtschaft","Rohstoffe",,,,"Starkregen folgt auf Trockenrisse im Boden --> Bodenerosion nimmt zu","Nagy 2017",,,,,,,,,,
